Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
124,4316,3,5,2,2017,Suburban,Excellent,Yes,1274159
125,3943,3,1,3,2003,Suburban,Excellent,No,1010082
126,3571,1,3,3,2021,Urban,Poor,No,872955
127,2154,1,4,1,2022,Suburban,Poor,Yes,631243
128,2595,2,5,1,1984,Suburban,Fair,Yes,768939
129,1808,5,1,2,1989,Suburban,Good,Yes,667168
130,811,2,1,2,1995,Urban,Poor,Yes,415177
131,1029,2,4,3,1987,Rural,Excellent,No,584858
132,4804,5,1,2,2012,Suburban,Poor,No,994816
133,855,1,4,2,2007,Rural,Excellent,No,490807
134,1261,3,5,1,1984,Suburban,Good,No,627370
135,4946,3,4,3,2018,Downtown,Poor,Yes,1295753
136,4123,4,2,2,2001,Downtown,Excellent,No,1215298
137,3160,4,3,3,1996,Urban,Fair,No,890999
138,1347,1,1,2,1986,Urban,Fair,Yes,525522
139,1601,4,3,3,2007,Rural,Good,No,635435
140,1448,5,5,1,1989,Downtown,Fair,Yes,856450
141,3611,1,3,3,1994,Downtown,Poor,No,913989
142,2077,3,3,2,2002,Rural,Fair,Yes,629896
143,1170,2,1,1,2013,Suburban,Excellent,No,563510
144,3392,2,3,2,2000,Rural,Poor,Yes,701272
145,1007,6,1,2,2008,Downtown,Excellent,No,828702
146,2837,2,5,1,2002,Downtown,Poor,No,906348
147,4916,6,3,1,1994,Downtown,Poor,Yes,1241214
148,3069,2,2,2,1998,Urban,Poor,Yes,811598
149,4127,2,2,2,2014,Suburban,Good,Yes,1031059
150,946,4,1,2,1984,Urban,Excellent,No,641517
151,2971,1,4,1,2000,Suburban,Excellent,No,841146
152,4177,1,2,2,2017,Downtown,Poor,No,995533
153,3381,2,3,1,1984,Rural,Fair,No,685864
154,1809,2,1,1,1996,Suburban,Fair,Yes,496181
155,2051,6,4,2,2016,Downtown,Good,No,990181
156,4202,1,4,2,2020,Urban,Good,Yes,1158219
157,4756,1,3,2,2008,Rural,Poor,No,850647
158,1228,6,1,3,2018,Downtown,Excellent,Yes,957407
159,2142,3,5,2,2012,Suburban,Poor,No,652356
160,3413,6,1,3,2021,Suburban,Poor,Yes,906262
161,4199,5,5,3,1990,Urban,Good,No,1241434
162,3948,3,5,1,2020,Urban,Poor,No,962647
163,3766,3,3,3,2022,Suburban,Good,Yes,1044807
164,3465,3,4,1,2018,Rural,Good,No,865879
165,1646,6,5,1,2021,Downtown,Good,Yes,1020196
166,3130,2,2,2,2011,Suburban,Fair,Yes,781158
167,1232,3,1,3,2014,Rural,Good,Yes,548617
168,1863,2,2,3,2019,Suburban,Excellent,Yes,810587
169,3584,6,2,2,2019,Urban,Excellent,Yes,1216273
170,2559,3,4,1,2003,Downtown,Excellent,No,1043507
171,4719,5,4,1,1992,Suburban,Good,Yes,1216446
172,3640,5,1,3,2013,Rural,Good,Yes,918212
173,2834,4,5,1,2007,Rural,Fair,No,753950
174,818,4,1,2,2012,Urban,Fair,No,472506
175,3671,2,1,2,1986,Urban,Fair,Yes,849315
176,2950,4,2,3,2010,Downtown,Poor,Yes,926040
177,2696,2,2,3,2018,Downtown,Poor,No,827467
178,3067,1,1,1,2006,Downtown,Poor,Yes,831228
179,4991,1,5,3,1995,Suburban,Good,No,1141700
180,3490,2,5,2,1991,Rural,Good,Yes,953001
181,4756,5,5,1,2004,Downtown,Poor,No,1247149
182,2677,6,1,2,1984,Urban,Fair,Yes,841348
183,1692,1,3,3,2001,Suburban,Excellent,No,694231
184,1704,1,4,1,1998,Suburban,Poor,Yes,498972
185,3185,3,5,2,2014,Downtown,Good,Yes,1167473
186,2943,3,1,3,2001,Urban,Poor,No,759007
187,3876,6,4,2,2001,Suburban,Excellent,No,1165168
188,4853,3,1,3,2007,Rural,Excellent,Yes,1124389
189,3231,1,1,2,2022,Urban,Good,No,874546
190,1965,6,4,2,2008,Rural,Good,No,734311
191,1069,1,4,2,2012,Suburban,Poor,Yes,505637
192,885,2,1,1,2021,Urban,Good,No,476569
193,1856,6,4,2,2003,Downtown,Poor,Yes,915917
194,3606,4,3,3,1997,Suburban,Poor,Yes,892455
195,4688,5,4,3,1987,Urban,Good,No,1251084
196,2939,6,4,1,1987,Suburban,Poor,No,756985
197,4246,1,3,3,2002,Rural,Good,No,912514
198,2026,3,5,1,1987,Suburban,Fair,Yes,736722
199,815,3,5,3,2003,Downtown,Fair,Yes,754192
200,3133,4,4,3,2006,Downtown,Poor,Yes,1056838
201,1207,4,4,3,2013,Urban,Fair,Yes,721327
202,4144,5,1,1,2013,Suburban,Good,Yes,1011509
203,3243,6,2,2,2013,Urban,Poor,No,865364
204,2848,2,3,3,2014,Rural,Fair,Yes,730999
205,3365,5,1,1,1985,Rural,Good,Yes,818327
206,848,4,5,2,2021,Urban,Excellent,Yes,860187
207,3036,4,1,3,1983,Suburban,Excellent,No,912091
208,4404,2,3,3,1989,Urban,Good,No,1126440
209,1671,3,5,3,1986,Urban,Fair,No,715354
210,2791,4,2,1,1986,Rural,Good,No,696500
211,2633,2,3,3,2000,Suburban,Fair,No,758051
212,4424,4,3,2,1981,Rural,Excellent,No,1039032
213,2362,5,3,1,1983,Urban,Excellent,No,893343
214,4996,1,1,2,1988,Urban,Good,No,1081784
215,970,4,1,3,2015,Suburban,Good,No,527087
216,3764,5,4,3,1997,Rural,Fair,Yes,982609
217,3657,3,5,2,1989,Suburban,Excellent,Yes,1086803
218,918,2,3,2,2013,Downtown,Fair,Yes,690497
219,3209,2,4,3,1999,Urban,Excellent,No,1080150
220,736,3,3,3,1987,Downtown,Good,Yes,777125
221,2775,6,5,3,1994,Rural,Excellent,Yes,1052687
222,3714,2,2,1,2016,Rural,Fair,Yes,799337
223,3169,4,2,2,2024,Suburban,Excellent,No,930268
224,1731,5,2,3,2000,Downtown,Excellent,No,932494
225,4365,5,3,3,2002,Urban,Excellent,Yes,1311436
226,2885,5,3,1,1999,Urban,Fair,No,852480
227,4530,3,5,3,1997,Urban,Poor,No,1118762
228,3427,2,3,1,1998,Rural,Good,No,766927
229,4524,2,2,3,1997,Urban,Fair,Yes,1077543
230,2586,1,5,1,2020,Suburban,Poor,Yes,736942
231,3305,6,4,1,2023,Suburban,Poor,Yes,933959
232,4496,4,2,2,2000,Urban,Poor,Yes,1036157
233,4983,6,1,1,2006,Suburban,Poor,No,1013465
234,2126,6,3,1,1980,Urban,Poor,No,680368
235,4322,6,5,3,2011,Suburban,Excellent,No,1283962
236,1522,3,2,3,2009,Urban,Fair,Yes,694475
237,3016,5,2,1,2019,Downtown,Excellent,No,1070288
238,3883,6,1,1,1988,Downtown,Good,Yes,1118330
239,2736,4,2,2,1997,Urban,Good,Yes,911202
240,3545,6,2,1,2022,Rural,Excellent,No,935159
241,3921,6,5,3,1999,Rural,Good,No,1065092
242,2395,2,4,1,2009,Urban,Excellent,No,880502
243,2627,6,5,1,2013,Downtown,Good,Yes,1120022
244,1105,5,5,1,2016,Suburban,Fair,No,641427
245,4219,1,2,3,2017,Downtown,Poor,No,998247
246,4314,2,5,2,2009,Rural,Excellent,No,1047983
247,3843,3,1,3,1993,Rural,Poor,No,717793
248,1122,5,1,1,2010,Rural,Good,No,442080
249,1709,6,4,2,2004,Downtown,Excellent,No,986923
250,1689,6,3,1,1991,Downtown,Fair,Yes,803360
251,786,3,4,3,2014,Downtown,Excellent,Yes,892011
252,4373,3,2,2,1992,Rural,Poor,No,755335
253,2571,2,1,1,2018,Rural,Excellent,Yes,715272
254,962,4,4,1,2014,Suburban,Poor,Yes,546136
255,2969,2,5,2,2016,Urban,Fair,No,887282
256,4870,2,4,2,1997,Rural,Fair,No,1001312
257,984,3,4,3,2000,Downtown,Excellent,Yes,910786
258,3683,2,5,2,1995,Suburban,Good,Yes,1057524
259,1072,5,4,2,2015,Suburban,Excellent,Yes,785662
260,2265,3,1,2,2003,Rural,Fair,Yes,571012
261,3689,6,5,3,1982,Rural,Fair,Yes,1024940
262,2311,3,3,1,1993,Suburban,Poor,No,572292
263,2275,4,2,3,2000,Urban,Excellent,No,933621
264,3543,3,3,2,2012,Downtown,Excellent,Yes,1253472
265,3223,2,3,2,2006,Rural,Fair,Yes,725460
266,2736,5,5,3,2006,Urban,Fair,Yes,1020956
267,2484,4,5,1,2011,Urban,Good,No,946483
268,4375,2,3,1,1988,Downtown,Fair,Yes,1157449
269,877,1,1,1,2006,Suburban,Fair,Yes,357960
270,674,2,5,2,2003,Rural,Excellent,No,512191
271,654,5,5,2,1980,Rural,Good,No,486876
272,4714,6,4,1,1986,Rural,Fair,Yes,1045686
273,4912,3,3,2,2005,Rural,Good,No,1072201
274,2592,6,2,2,2023,Rural,Poor,Yes,710360
275,3706,4,5,2,1983,Rural,Fair,Yes,951287
276,4154,6,3,3,1986,Rural,Fair,Yes,1026654
277,2820,1,1,3,1997,Rural,Fair,No,541152
278,2297,5,2,3,2005,Rural,Good,Yes,759384
279,3787,6,5,2,2004,Suburban,Poor,No,949753
280,1400,4,2,1,2001,Downtown,Good,Yes,793825
281,4290,4,2,2,2015,Downtown,Excellent,Yes,1343666
282,1302,5,3,1,1984,Rural,Good,Yes,583197
283,1863,6,4,2,2003,Rural,Poor,Yes,637940
284,4243,3,3,1,1988,Rural,Fair,No,853465
285,4797,4,1,1,1985,Urban,Poor,No,966858
286,701,3,4,2,1985,Suburban,Fair,No,444661
287,1737,3,3,2,2011,Suburban,Poor,Yes,615838
288,2860,4,3,2,1984,Urban,Good,Yes,979285
289,2201,4,1,1,1999,Rural,Excellent,No,656537
290,3299,4,3,2,2021,Suburban,Good,No,928681
291,4524,3,2,2,2000,Urban,Excellent,Yes,1227494
292,3680,3,4,2,1987,Suburban,Fair,Yes,967305
293,2317,4,3,3,1984,Downtown,Excellent,Yes,1075257
294,2582,3,2,3,2007,Downtown,Poor,No,854404
295,3883,5,5,3,2006,Rural,Good,Yes,1078370
296,2633,6,3,1,2021,Rural,Excellent,No,872205
297,1467,1,1,2,1994,Suburban,Excellent,No,580581
298,4393,6,5,3,2012,Suburban,Good,Yes,1313462
299,1456,3,4,1,1987,Suburban,Good,No,619286
300,4330,2,5,2,2002,Downtown,Poor,No,1148353
301,3212,1,3,1,1987,Rural,Good,Yes,735482
302,2598,5,2,3,1990,Urban,Excellent,No,953899
303,3918,6,2,1,2020,Downtown,Excellent,Yes,1291773
304,4282,5,4,2,1980,Suburban,Fair,No,993890
305,1433,5,2,2,2000,Suburban,Excellent,Yes,750972
306,4609,5,3,3,2004,Downtown,Poor,No,1213040
307,4350,5,2,3,1999,Rural,Fair,No,913798
308,2554,3,1,1,2003,Suburban,Excellent,No,735800
309,3743,4,2,2,2020,Suburban,Fair,No,898393
310,1749,2,3,2,2019,Rural,Good,Yes,658723
311,1718,2,4,3,2012,Downtown,Excellent,No,971787
312,4236,4,2,1,2016,Rural,Fair,No,821505
313,2851,2,5,2,1990,Downtown,Excellent,Yes,1125164
314,2794,5,3,3,1982,Downtown,Fair,No,950753
315,2627,3,1,2,1996,Urban,Poor,No,635301
316,2541,2,5,3,2002,Downtown,Fair,Yes,996727
317,2295,1,5,2,2014,Urban,Fair,No,781731
318,2970,5,3,3,2023,Rural,Fair,No,769820
319,2871,6,2,3,1988,Suburban,Fair,No,808142
320,3817,4,2,3,2020,Urban,Excellent,No,1170508
321,1218,6,1,2,2012,Urban,Good,No,703778
322,3281,5,1,3,1985,Downtown,Good,Yes,1113674
323,2384,4,2,2,1997,Urban,Good,No,792997
324,4575,3,1,1,1986,Downtown,Poor,Yes,1031082
325,4215,4,1,2,1992,Suburban,Good,Yes,1016291
326,1364,6,3,2,1985,Urban,Fair,Yes,730529
327,3102,6,2,2,2021,Rural,Poor,Yes,756763
328,4506,1,2,3,1994,Downtown,Poor,Yes,1100002
329,1587,4,2,2,1984,Suburban,Excellent,Yes,708140
330,1445,3,3,2,1988,Downtown,Fair,Yes,727891
331,4945,5,1,3,2021,Suburban,Excellent,No,1223950
332,1840,4,5,3,2008,Suburban,Poor,Yes,713551
333,1608,5,4,2,2007,Urban,Fair,Yes,786662
334,1290,2,5,3,2018,Urban,Poor,No,624378
335,4841,5,5,1,2005,Urban,Poor,Yes,1226610
336,3761,1,2,2,2020,Rural,Poor,No,689625
337,1681,4,5,2,2003,Suburban,Excellent,Yes,838332
338,1153,1,3,1,1982,Rural,Excellent,No,495058
339,4003,4,4,1,2020,Suburban,Good,Yes,1098855
340,1247,5,2,1,2014,Urban,Excellent,Yes,787069
341,4183,6,2,1,1995,Rural,Excellent,Yes,1083759
342,1050,3,2,1,1980,Suburban,Poor,Yes,422115
343,3440,5,5,3,1996,Suburban,Good,Yes,1103027
344,1567,1,3,2,1997,Rural,Good,Yes,582446
345,4328,5,3,1,2011,Suburban,Good,Yes,1117998
346,1442,5,1,1,2012,Rural,Poor,Yes,419343
347,976,4,3,2,1989,Suburban,Poor,No,426547
348,3236,2,4,3,2000,Urban,Poor,No,838670
349,4712,6,1,1,1994,Rural,Excellent,Yes,1125800
350,2912,3,3,1,2015,Downtown,Poor,No,850342
351,2988,5,3,3,2019,Suburban,Excellent,No,1044525
352,2200,6,5,1,1989,Rural,Excellent,Yes,865139
353,3437,6,1,2,1980,Downtown,Good,Yes,1100060
354,4940,2,4,2,1983,Suburban,Good,Yes,1135454
355,2496,5,4,3,2003,Downtown,Poor,Yes,1010567
356,1693,6,4,1,2017,Rural,Excellent,Yes,790719
357,2989,3,3,2,2024,Urban,Good,No,941650
358,2513,1,2,1,2017,Rural,Fair,Yes,565129
359,4282,4,3,2,1987,Urban,Fair,No,1044500
360,4395,3,1,1,1990,Urban,Poor,Yes,932039
361,1815,1,2,2,2005,Rural,Good,No,500764
362,854,4,4,3,2015,Suburban,Poor,No,488987
363,1745,1,1,1,1994,Suburban,Fair,No,448415
364,1288,5,5,2,1984,Rural,Poor,Yes,559481
365,1655,1,3,1,1982,Downtown,Poor,Yes,658949
366,3835,4,1,2,2023,Downtown,Fair,No,1040618
367,2133,3,3,2,1989,Rural,Fair,No,585275
368,3975,5,4,1,1985,Urban,Excellent,Yes,1232124
369,2233,6,5,1,2020,Rural,Excellent,No,889458
370,4570,3,5,3,2000,Downtown,Good,Yes,1359866
371,3212,5,2,1,1997,Rural,Excellent,No,841448
372,1907,1,2,3,1995,Urban,Poor,Yes,630226
373,3506,2,2,1,2017,Urban,Good,Yes,978665
374,1764,5,2,2,2014,Urban,Fair,No,666355
375,1339,1,2,3,1994,Rural,Excellent,Yes,589236
376,2250,2,3,3,1991,Urban,Poor,Yes,703610
377,1760,1,5,2,1984,Urban,Excellent,Yes,863913
378,3072,3,2,1,2007,Downtown,Good,Yes,1029409
379,2428,6,5,1,2004,Urban,Good,Yes,988952
380,614,6,5,2,2016,Rural,Fair,No,505983
381,1452,4,2,2,1984,Suburban,Good,No,577145
382,1326,6,3,2,1980,Urban,Fair,Yes,675955
383,3471,3,1,3,1980,Rural,Excellent,No,858099
384,1962,4,4,2,2002,Downtown,Poor,No,790257
385,1932,4,1,1,1998,Rural,Good,No,510266
386,1207,3,2,2,1990,Rural,Poor,No,355088
387,853,4,2,3,2007,Suburban,Poor,Yes,489282
388,2283,2,4,3,2015,Urban,Good,No,863970
389,1385,1,4,3,2015,Downtown,Fair,Yes,804919
390,631,4,1,2,2022,Downtown,Fair,Yes,600068
391,2295,2,3,1,2010,Rural,Good,No,645302
392,4606,6,3,1,2021,Downtown,Fair,No,1261866
393,3626,2,4,1,1996,Downtown,Excellent,No,1144424
394,2800,5,1,1,2024,Rural,Poor,No,602862
395,2463,5,1,2,2013,Downtown,Excellent,Yes,1078959
396,3048,1,4,3,1982,Suburban,Poor,No,701819
397,1969,2,2,1,1982,Downtown,Poor,No,614170
398,1811,5,3,2,1984,Rural,Excellent,No,699941
399,2862,5,4,1,2024,Downtown,Poor,No,932203
400,1814,5,5,3,1986,Rural,Poor,No,605101
401,3966,3,4,3,2011,Downtown,Poor,Yes,1153169
402,3901,2,5,3,2023,Downtown,Poor,No,1125494
403,2546,1,4,2,2003,Rural,Good,No,692326
404,2896,4,1,1,1988,Urban,Excellent,No,879633
405,4014,5,1,1,2008,Suburban,Excellent,No,1053128
406,3663,1,5,1,1984,Urban,Excellent,Yes,1134454
407,837,2,2,1,1983,Suburban,Poor,No,261391
408,3552,6,2,2,2003,Downtown,Excellent,Yes,1226445
409,2581,3,4,3,2008,Suburban,Excellent,No,937766
410,1939,3,1,2,1981,Downtown,Poor,Yes,680246
411,2413,6,2,3,1993,Urban,Excellent,Yes,976451
412,4483,2,2,3,1980,Suburban,Good,No,1005929
413,4071,4,3,2,1996,Suburban,Excellent,No,1122536
414,3853,5,1,1,2012,Urban,Good,No,981054
415,4546,1,3,2,2020,Urban,Good,No,1116133
416,2143,2,5,1,1983,Downtown,Good,Yes,902471
417,4674,3,3,2,2005,Downtown,Poor,Yes,1192509
418,2421,6,5,3,2010,Urban,Good,Yes,1055586
419,3006,1,4,1,1996,Suburban,Good,Yes,839001
420,3510,2,3,2,2001,Urban,Good,No,989736
421,1564,4,1,3,2017,Rural,Excellent,Yes,711578
422,1581,6,4,3,1999,Downtown,Poor,Yes,849849
423,2240,3,4,3,2009,Suburban,Good,Yes,834992
424,4594,3,2,2,2020,Rural,Poor,No,854781
425,2315,2,5,1,2011,Rural,Fair,No,643958
426,3904,4,4,2,1980,Rural,Fair,No,827725
427,3239,5,2,1,2023,Rural,Fair,Yes,801189
428,3156,2,1,2,2012,Urban,Fair,Yes,806812
429,3042,3,4,3,2013,Urban,Excellent,Yes,1130412
430,4615,3,2,1,2005,Rural,Fair,Yes,901172
431,2330,6,1,3,2012,Suburban,Poor,No,635947
432,3673,6,3,3,2019,Rural,Poor,Yes,876772
433,995,6,1,2,2008,Downtown,Poor,No,634855
434,1854,2,1,2,2006,Rural,Good,Yes,579726
435,1459,5,5,1,1998,Rural,Poor,No,488992
436,2236,3,5,1,2002,Downtown,Good,Yes,965584
437,4666,2,4,2,1995,Rural,Poor,Yes,908844
438,4647,2,1,3,1984,Rural,Good,Yes,993282
439,3025,3,4,1,1986,Suburban,Poor,No,717839
440,3161,4,1,1,1982,Rural,Fair,Yes,678623
441,3528,4,5,2,1985,Urban,Good,Yes,1097280
442,3883,4,4,2,2004,Downtown,Excellent,Yes,1306453
443,1685,6,1,1,1986,Downtown,Excellent,No,840083
444,3710,3,5,1,2023,Suburban,Excellent,No,1064152
445,3969,4,1,1,1996,Urban,Poor,Yes,903846
446,4852,5,5,1,2007,Suburban,Excellent,No,1296186
447,1817,5,5,1,1980,Suburban,Excellent,No,794944
448,1213,4,3,1,2001,Urban,Poor,Yes,585513
449,3903,2,1,2,2008,Downtown,Poor,No,952933
450,3189,1,4,3,2021,Rural,Poor,No,720451
451,893,5,5,1,1985,Urban,Fair,No,619961
452,3576,1,2,2,2001,Downtown,Good,No,993465
453,1398,6,2,1,2001,Urban,Good,No,671645
454,975,2,4,1,2006,Rural,Good,Yes,496956
455,1589,4,2,2,1992,Urban,Poor,No,530699
456,1609,4,4,3,2017,Suburban,Excellent,Yes,907020
457,997,5,4,3,2010,Suburban,Fair,Yes,638938
458,3773,6,5,3,2000,Downtown,Excellent,Yes,1421745
459,3859,3,3,2,1988,Suburban,Excellent,No,1030099
460,2380,2,2,3,1998,Urban,Fair,Yes,802546
461,3240,6,1,2,2015,Downtown,Excellent,No,1161963
462,704,5,1,1,2004,Suburban,Poor,Yes,376881
463,2787,2,3,3,1996,Suburban,Poor,No,674853
464,864,3,4,1,2019,Suburban,Excellent,Yes,713847
465,2956,6,1,2,2004,Downtown,Good,Yes,1033919
466,2658,2,5,2,1994,Urban,Fair,Yes,885568
467,4276,2,1,1,1991,Rural,Excellent,Yes,954185
468,2886,5,3,1,1990,Urban,Poor,No,801392
469,1868,1,2,2,2018,Rural,Good,No,548194
470,1197,6,3,3,1994,Suburban,Poor,Yes,619681
471,4999,4,1,2,1994,Suburban,Good,No,1093745
472,3004,2,5,3,2010,Rural,Poor,No,744794
473,2568,6,5,3,1995,Rural,Good,No,850020
474,3761,3,5,3,1998,Rural,Good,No,1000551
475,959,3,2,2,2012,Rural,Poor,Yes,402143
476,660,6,1,1,2022,Suburban,Excellent,Yes,617845
477,4165,6,1,3,2023,Suburban,Poor,No,953803
478,910,1,1,1,1991,Urban,Poor,Yes,368851
479,3939,4,4,3,2005,Downtown,Good,Yes,1312007
480,1569,5,1,3,2019,Rural,Poor,Yes,520989
481,4719,1,3,3,1999,Rural,Good,No,1006847
482,3836,6,1,2,1990,Suburban,Fair,No,891683
483,1780,3,3,1,2015,Suburban,Poor,Yes,540559
484,3828,5,5,1,1999,Suburban,Good,Yes,1121747
485,4798,2,2,1,1994,Urban,Fair,Yes,1046080
